city,province,price,text
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
city,province,price,text
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
西城区,北京,"129,870",
city,province,price,text
西城区,北京,"129,870",东城区
西城区,北京,"129,870",东城区
西城区,北京,"129,870",东城区
西城区,北京,"129,870",东城区
西城区,北京,"129,870",东城区
西城区,北京,"129,870",东城区
西城区,北京,"129,870",东城区
西城区,北京,"129,870",东城区
西城区,北京,"129,870",东城区
西城区,北京,"129,870",东城区
city,province,price,text
西城区,北京,"129,870",东城区
东城区,北京,"106,191",东城区
宣武区,北京,"95,825",东城区
崇文区,北京,"93,381",东城区
海淀区,北京,"89,468",东城区
朝阳区,北京,"73,669",东城区
丰台区,北京,"59,677",东城区
石景山区,北京,"53,448",东城区
大兴区,北京,"45,518",东城区
通州区,北京,"43,204",东城区
